Station,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,Provider,Zone
Range South,6325,67,87,54,-,-,4,242,4,-,-,-,-,-,-,-,MesoWest,Steamboat
US-40 at Elk Spring,6731,71,83,47,46,41,9,135,11,-,-,-,-,-,-,-,CDOT,Steamboat
U-40 Steamboat,6766,74,84,48,40,29,6,225,10,-,-,-,-,-,-,-,CDOT,Steamboat
Steamboat Sprngs,6877,67,83,50,48,51,3,330,-,-,-,-,-,-,-,-,METAR,Steamboat
Gypsum,7340,68,87,52,50,52,4,173,11,-,-,-,-,-,-,-,RAWS,Steamboat
Hangman,7834,62,77,52,49,63,7,187,15,-,-,-,-,-,-,-,RAWS,Steamboat
Yampa Ranger Statio,7880,-7,71,-19,-,-,-,-,-,-,-,-,-,-,-,-,HADS,Steamboat
Trapper North,7960,59,76,40,-,-,-,-,-,-,-,-,-,-,-,-,UPR,Steamboat
Dry Lake,8400,61,74,47,45,54,1,161,5,0.00,2.00,-,-,-,-,-,SNOTEL,Steamboat
Dry Lake,8416,65,77,48,44,47,4,166,11,-,-,-,-,-,-,-,RAWS,Steamboat
Elk River,8700,61,74,46,-,-,-,-,-,0.00,1.00,-,-,-,2.0,-,SNOTEL,Steamboat
Elkhead Divide,8780,62,73,46,-,-,-,-,-,0.00,0.40,-,-,-,0.0,0.00,SNOTEL,Steamboat
Lynx Pass,8880,54,71,41,-,-,-,-,-,0.00,0.50,-,-,-,4.0,0.10,SNOTEL,Steamboat
Porcupine Cr,8941,62,75,40,48,61,6,113,13,-,-,-,-,-,-,-,RAWS,Steamboat
Bear River,9080,59,65,44,-,-,-,-,-,0.00,0.20,-,-,-,0.0,0.20,SNOTEL,Steamboat
Crosho,9100,58,68,45,-,-,-,-,-,0.00,1.50,-,-,-,-,0.00,SNOTEL,Steamboat
Columbine,9160,55,72,46,-,-,-,-,-,0.00,0.30,-,-,-,4.0,-,SNOTEL,Steamboat
Buffalo Park,9240,58,65,41,-,-,-,-,-,0.00,0.50,-,-,-,0.0,-,SNOTEL,Steamboat
Lost Dog,9320,55,70,46,-,-,-,-,-,0.00,0.30,-,-,-,-,-,SNOTEL,Steamboat
Zirkel,9340,60,71,45,-,-,-,-,-,0.00,0.50,-,-,-,-,-,SNOTEL,Steamboat
Rabbit Ears,9400,59,69,45,-,-,-,-,-,0.00,0.60,-,-,-,0.0,-,SNOTEL,Steamboat
Burro Mountain,9400,62,69,45,-,-,-,-,-,0.00,0.40,-,-,-,0.0,-,SNOTEL,Steamboat
